# %ECSV 1.0
# ---
# datatype:
# - {name: Alias, datatype: string}
# - {name: ledaName, datatype: string}
# - {name: al2000, datatype: float64}
# - {name: de2000, datatype: float64}
# - {name: type, datatype: string}
# - {name: bar, datatype: string}
# - {name: ring, datatype: string}
# - {name: multiple, datatype: string}
# - {name: t, datatype: float64}
# - {name: agnclass, datatype: string}
# - {name: logd25, datatype: float64}
# - {name: e_logd25, datatype: float64}
# - {name: logr25, datatype: float64}
# - {name: e_logr25, datatype: float64}
# - {name: pa, datatype: float64}
# - {name: bt, datatype: float64}
# - {name: it, datatype: float64}
# - {name: m21, datatype: float64}
# - {name: mfir, datatype: float64}
# - {name: vmaxg, datatype: float64}
# - {name: e_vmaxg, datatype: float64}
# - {name: v, datatype: float64}
# - {name: e_v, datatype: float64}
# - {name: ag, datatype: float64}
# - {name: incl, datatype: float64}
# - {name: vrot, datatype: float64}
# - {name: e_vrot, datatype: float64}
# - {name: vvir, datatype: float64}
# - {name: modz, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
Alias,ledaName,al2000,de2000,type,bar,ring,multiple,t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,bt,it,m21,mfir,vmaxg,e_vmaxg,v,e_v,ag,incl,vrot,e_vrot,vvir,modz
NGC0515,NGC0515,1.4106903,33.4726809,S0,,,,-2.0,,0.966,0.067,0.158,0.03,88.5,14.255,11.965,,,,,5100.3,8.2,0.253,54.64,,,5185.7,34.387
NGC0517,NGC0517,1.4121832,33.4296822,S0,,,,-2.1,,1.163,0.054,0.388,0.027,20.0,13.563,11.705,,,,,4201.1,8.2,0.246,90.0,,,4286.3,33.972
NGC0523,NGC0523,1.422441,34.0249907,Sbc,,,M,4.2,,1.401,0.064,0.549,0.069,103.7,13.496,,15.2,12.25,226.18,6.66,4760.7,5.6,0.234,79.74,229.86,6.82,4848.5,34.245
UGC00987,UGC00987,1.4254083,32.13625,Sa,,,,1.0,S1.5,1.197,0.034,0.551,0.025,31.2,14.364,12.152,15.465,,177.26,4.1,4655.7,2.5,0.262,90.0,177.26,,4734.4,34.189
NGC0528,NGC0528,1.4259932,33.6714722,S0,,,,-2.0,,1.248,0.062,0.231,0.048,56.66,13.647,11.765,,13.582,,,4751.2,11.3,0.28,66.76,,,4837.2,34.245
NGC0529,NGC0529,1.4278611,34.7129167,E-S0,,,,-3.2,,1.347,0.052,0.054,0.048,161.66,13.127,11.175,,,,,4795.3,11.6,0.208,34.24,,,4886.2,34.263
NGC0548,NGC0548,1.4340297,-1.2256244,E,,R,,-3.8,,0.955,0.043,0.084,0.026,153.1,14.661,13.252,,,,,5401.2,2.9,0.157,44.45,,,5315.7,34.438
UGC01014,UGC01014,1.4398828,6.2773839,SABm,B,R,,9.3,,1.067,0.045,0.144,0.031,170.0,15.037,13.829,16.137,,11.59,0.47,2131.9,0.7,0.139,50.03,15.12,0.63,2082.5,32.426
NGC0551,NGC0551,1.4612944,37.1828889,SBbc,B,,,4.0,,1.172,0.035,0.399,0.023,137.34,13.418,12.137,15.93,13.481,169.99,4.77,5189.2,14.9,0.247,70.32,180.53,5.1,5290.7,34.438
UGC01057,UGC01057,1.4814655,13.7936009,SABb,B,,,4.0,,1.106,0.035,0.5,0.023,152.77,14.855,13.515,15.22,,161.63,4.52,6334.1,1.5,0.21,76.92,165.94,4.66,6320.6,34.825
NGC0570,NGC0570,1.4829551,-0.9489578,Sa,B,R,,1.0,,1.209,0.034,0.172,0.022,166.34,13.715,12.278,18.153,,150.38,9.34,5528.5,5.0,0.119,51.53,192.08,12.07,5442.6,34.488
UGC01062,UGC01062,1.4832108,-0.5619152,S0-a,B,R,,-1.4,,1.173,0.037,0.374,0.028,59.69,13.855,12.246,,,,,5464.5,2.2,0.126,90.0,,,5380.5,34.472
UGC1071,IC0126,1.4966264,-1.98375,,,,,,,0.95,0.052,0.04,0.026,,15.658,13.262,,,,,5903.2,50.6,0.169,24.69,,,5811.9,34.632
UGC1110,UGC01110,1.5549145,13.3322413,Sc,B,,,5.9,,1.226,0.03,0.658,0.03,176.69,15.223,13.975,15.947,,90.83,2.08,2767.3,2.1,0.236,82.64,91.58,2.1,2749.1,33.005
UGC01123,UGC01123,1.5688794,-1.0322362,SABa,B,R,M,2.0,,1.089,0.037,0.567,0.026,70.18,14.395,12.751,,,200.32,10.31,4892.2,32.6,0.152,90.0,200.32,,4803.1,34.226
NGC0647,NGC0647,1.6656054,-9.2423635,S0,B,R,M,-2.1,,1.104,0.037,0.114,0.023,19.13,14.323,12.406,,,,,12619.2,2.9,0.13,46.74,,,12488.8,36.318
2MASXJ01403375+1830406,PGC1561674,1.6760417,18.5112778,S0-a,,,,-1.0,,0.69,0.074,0.23,0.028,60.5,16.81,,,,,,,,0.258,62.94,,,,
NGC0660,NGC0660,1.7173326,13.6452282,Sa,B,,M,1.2,S3,1.66,0.026,0.433,0.025,12.91,11.939,9.753,12.437,8.638,139.07,2.82,852.3,2.8,0.28,78.77,141.78,2.9,830.4,30.504
IC0159,IC0159,1.7736288,-8.6366794,SBb,B,,M,3.5,,1.131,0.037,0.258,0.022,27.55,14.181,13.171,15.75,13.452,107.78,4.66,3917.1,1.0,0.122,59.3,125.35,5.47,3785.9,33.709
