# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC6155,7.5,100,0.08556,0.01921
NGC6155,10.5,139,0.07209,0.02
NGC6155,13.5,182,0.06444,0.01641
NGC6155,16.5,221,0.05298,0.01606
NGC6155,19.5,261,0.03966,0.01727
NGC6155,22.5,296,0.02633,0.01565
NGC6168,1.5,6,0.0593,0.002338
NGC6168,4.5,19,0.06216,0.005184
NGC6168,7.5,32,0.06338,0.008457
NGC6168,10.5,46,0.06012,0.009726
NGC6168,13.5,60,0.05165,0.01398
NGC6168,16.5,72,0.04351,0.02044
NGC6168,19.5,76,0.03824,0.02102
NGC6168,22.5,79,0.03069,0.01785
NGC6186,1.5,9,1.002,0.07802
NGC6186,4.5,27,0.7451,0.2082
NGC6186,7.5,45,0.4528,0.2724
NGC6186,10.5,63,0.2788,0.2515
NGC6186,13.5,80,0.1845,0.1989
NGC6186,16.5,95,0.1354,0.1421
NGC6186,19.5,109,0.09543,0.1019
NGC6186,22.5,125,0.07611,0.07712
NGC6301,1.5,17,0.0392,0.007023
NGC6301,4.5,50,0.03933,0.01232
NGC6301,7.5,86,0.04117,0.01621
NGC6301,10.5,119,0.04271,0.01774
NGC6301,13.5,154,0.04235,0.01914
NGC6301,16.5,184,0.03992,0.01724
NGC6301,19.5,209,0.03708,0.01379
NGC6301,22.5,230,0.02923,0.01151
NGC6314,1.5,16,0.2657,0.01921
NGC6314,4.5,45,0.1896,0.03658
NGC6314,7.5,75,0.1034,0.03172
NGC6314,10.5,104,0.04465,0.02153
NGC6314,13.5,123,0.02005,0.01164
NGC6314,16.5,114,0.01239,0.008556
NGC6314,19.5,88,0.01145,0.007736
NGC6314,22.5,70,0.01288,0.005931
NGC6361,1.5,7,1.114,0.03982
NGC6361,4.5,21,0.9659,0.1246
NGC6361,7.5,36,0.7529,0.1931
NGC6361,10.5,52,0.5701,0.2251
NGC6361,13.5,64,0.4493,0.2305
NGC6361,16.5,81,0.335,0.2236
NGC6361,19.5,93,0.2708,0.2177
NGC6361,22.5,111,0.2078,0.204
NGC6394,1.5,14,0.1328,0.01017
NGC6394,4.5,42,0.1015,0.01836
NGC6394,7.5,70,0.07302,0.02052
NGC6394,10.5,98,0.05543,0.02655
