# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5947,22.5,0,0.0,0.0
NGC5953,1.5,25,1.052,0.04398
NGC5953,4.5,76,0.8532,0.09935
NGC5953,7.5,127,0.5307,0.1198
NGC5953,10.5,177,0.2325,0.09261
NGC5953,13.5,227,0.06273,0.04279
NGC5953,16.5,275,0.0125,0.01454
NGC5953,19.5,174,0.007712,0.008269
NGC5953,22.5,51,0.01247,0.008791
NGC5980,1.5,12,0.362,0.02265
NGC5980,4.5,34,0.2972,0.03865
NGC5980,7.5,57,0.2389,0.04593
NGC5980,10.5,78,0.1996,0.05108
NGC5980,13.5,103,0.1583,0.05165
NGC5980,16.5,126,0.1244,0.04615
NGC5980,19.5,149,0.08785,0.04023
NGC5980,22.5,170,0.0562,0.03035
NGC6004,1.5,23,0.1439,0.02185
NGC6004,4.5,66,0.08021,0.03448
NGC6004,7.5,112,0.03888,0.02595
NGC6004,10.5,155,0.03378,0.0215
NGC6004,13.5,203,0.03537,0.02156
NGC6004,16.5,241,0.02943,0.01858
NGC6004,19.5,247,0.01638,0.01132
NGC6004,22.5,234,0.008761,0.00515
NGC6060,1.5,11,0.1536,0.006441
NGC6060,4.5,37,0.1459,0.01674
NGC6060,7.5,62,0.1269,0.0171
NGC6060,10.5,86,0.08815,0.02312
NGC6060,13.5,111,0.05954,0.02471
NGC6060,16.5,133,0.04839,0.02431
NGC6060,19.5,159,0.04693,0.02566
NGC6060,22.5,176,0.04555,0.02526
NGC6155,1.5,20,0.1186,0.007295
NGC6155,4.5,60,0.1067,0.01447
NGC6155,7.5,100,0.08579,0.01838
NGC6155,10.5,139,0.0722,0.01937
NGC6155,13.5,181,0.06278,0.01655
NGC6155,16.5,221,0.04816,0.01699
NGC6155,19.5,261,0.03139,0.01781
NGC6155,22.5,259,0.0197,0.01522
NGC6168,1.5,6,0.04425,0.006889
NGC6168,4.5,18,0.03965,0.01053
NGC6168,7.5,32,0.03355,0.01332
NGC6168,10.5,47,0.02818,0.01425
NGC6168,13.5,52,0.02388,0.01214
NGC6168,16.5,52,0.02476,0.01413
NGC6168,19.5,51,0.02301,0.01316
NGC6168,22.5,53,0.01749,0.009121
NGC6186,1.5,9,0.9758,0.07643
NGC6186,4.5,27,0.7241,0.2087
NGC6186,7.5,45,0.438,0.2696
NGC6186,10.5,64,0.2724,0.2488
NGC6186,13.5,82,0.1763,0.1921
NGC6186,16.5,99,0.1214,0.1393
NGC6186,19.5,110,0.09339,0.1025
NGC6186,22.5,113,0.07826,0.07985
