# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: r_arcs, unit: arcsec, datatype: float64, description: outer radius of ring in arcsec}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: outer radius of ring in kpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: outer radius of ring as frac of opt radius}
# - {name: npix, datatype: int64, description: number of available pixels in the ring}
# - {name: ngood, datatype: int64, description: number of unmasked pixels in the ring}
# - {name: ico_avg, unit: K km / s, datatype: float64, format: 10.3f, description: average face-on intensity in ring if ngood/npix > 0.1
#     and setting blanks to zero}
# - {name: ico_rms, unit: K km / s, datatype: float32, description: rms face-on intensity in ring for unmasked pixels}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f, description: 3 sigma detection limit based on emom0max}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f, description: average face-on surface density including He with
#     alphaco=4.3}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e, description: total CO luminosity within the given radius}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e, description: total molecular gas mass within the given radius}
# delimiter: ','
# schema: astropy-2.0
Name,r_arcs,r_kpc,r_r25,npix,ngood,ico_avg,ico_rms,detlim,sigmol,cumlum,cummass
IC2247,10.5,3.158,0.192,43,43,4.412,0.83801574,1.075,18.970,2.0645e+08,8.8775e+08
IC2247,13.5,4.060,0.247,52,52,3.715,0.790939,0.963,15.976,2.8847e+08,1.2404e+09
IC2247,16.5,4.962,0.302,70,70,3.004,0.71953434,0.807,12.918,3.7774e+08,1.6243e+09
IC2247,19.5,5.864,0.356,77,77,2.400,0.76715493,0.755,10.320,4.5619e+08,1.9616e+09
IC2247,22.5,6.766,0.411,89,89,1.799,0.62878007,0.685,7.734,5.2415e+08,2.2538e+09
IC2247,25.5,7.668,0.466,109,109,1.231,0.52772427,0.602,5.292,5.8110e+08,2.4987e+09
IC2247,28.5,8.571,0.521,105,105,0.849,0.4324896,0.613,3.651,6.1895e+08,2.6615e+09
IC2247,31.5,9.473,0.576,128,128,0.538,0.37597263,0.558,2.314,6.4819e+08,2.7872e+09
IC2247,34.5,10.375,0.631,141,141,0.321,0.33229065,0.534,1.379,6.6740e+08,2.8698e+09
IC2247,37.5,11.277,0.685,151,146,0.096,0.30630964,0.527,0.414,6.7357e+08,2.8964e+09
IC2247,40.5,12.179,0.740,158,135,-0.002,0.27818716,0.529,-0.010,6.7341e+08,2.8957e+09
IC2247,43.5,13.081,0.795,181,145,-0.062,0.29330844,0.509,-0.268,6.6862e+08,2.8751e+09
IC2247,46.5,13.984,0.850,185,124,-0.072,0.26719582,0.527,-0.308,6.6299e+08,2.8509e+09
IC2247,49.5,14.886,0.905,197,95,-0.084,0.20674588,0.529,-0.362,6.5596e+08,2.8206e+09
IC2247,52.5,15.788,0.959,216,87,-0.070,0.19460288,0.539,-0.299,6.4957e+08,2.7932e+09
IC2247,55.5,16.690,1.014,221,59,-0.061,0.15585274,0.560,-0.262,6.4386e+08,2.7686e+09
IC2247,58.5,17.592,1.069,234,46,-0.053,0.14810115,0.584,-0.227,6.3862e+08,2.7461e+09
IC2247,61.5,18.495,1.124,248,44,-0.044,0.13314244,0.587,-0.187,6.3403e+08,2.7263e+09
IC2247,64.5,19.397,1.179,259,36,-0.027,0.102222644,0.579,-0.115,6.3109e+08,2.7137e+09
IC2247,67.5,20.299,1.234,263,22,nan,nan,0.609,nan,6.3109e+08,2.7137e+09
IC2247,70.5,21.201,1.288,294,19,nan,nan,0.584,nan,6.3109e+08,2.7137e+09
IC2247,73.5,22.103,1.343,294,13,nan,nan,0.608,nan,6.3109e+08,2.7137e+09
IC2247,76.5,23.005,1.398,304,5,nan,nan,0.612,nan,6.3109e+08,2.7137e+09
IC2247,79.5,23.908,1.453,323,1,nan,nan,0.612,nan,6.3109e+08,2.7137e+09
IC2487,1.5,0.453,0.027,6,6,3.402,0.41515154,3.302,14.629,8.8972e+06,3.8258e+07
IC2487,4.5,1.360,0.082,19,19,3.205,0.52965593,1.877,13.781,3.5439e+07,1.5239e+08
IC2487,7.5,2.267,0.136,30,30,2.900,0.39418775,1.488,12.470,7.3361e+07,3.1545e+08
IC2487,10.5,3.174,0.191,41,41,2.791,0.28244385,1.226,12.002,1.2324e+08,5.2994e+08
IC2487,13.5,4.081,0.245,56,56,2.447,0.26062492,1.003,10.521,1.8297e+08,7.8675e+08
IC2487,16.5,4.987,0.299,62,62,2.024,0.3035645,0.930,8.703,2.3766e+08,1.0220e+09
IC2487,19.5,5.894,0.354,77,77,1.611,0.44742408,0.820,6.926,2.9172e+08,1.2544e+09
IC2487,22.5,6.801,0.408,91,91,1.266,0.4623994,0.750,5.442,3.4192e+08,1.4703e+09
IC2487,25.5,7.708,0.463,97,97,0.979,0.35757625,0.722,4.211,3.8332e+08,1.6483e+09
IC2487,28.5,8.615,0.517,113,113,0.787,0.29935157,0.678,3.386,4.2211e+08,1.8151e+09
IC2487,31.5,9.522,0.572,123,123,0.577,0.2504964,0.659,2.479,4.5301e+08,1.9480e+09
IC2487,34.5,10.428,0.626,135,135,0.380,0.23877805,0.640,1.636,4.7540e+08,2.0442e+09
IC2487,37.5,11.335,0.681,145,134,0.216,0.25130078,0.634,0.927,4.8903e+08,2.1028e+09
IC2487,40.5,12.242,0.735,162,138,0.113,0.24084662,0.615,0.486,4.9702e+08,2.1372e+09
IC2487,43.5,13.149,0.790,171,139,0.044,0.24866797,0.621,0.189,5.0028e+08,2.1512e+09
IC2487,46.5,14.056,0.844,190,142,-0.063,0.23226735,0.616,-0.270,4.9508e+08,2.1288e+09
IC2487,49.5,14.962,0.898,199,110,-0.104,0.21035033,0.628,-0.448,4.8604e+08,2.0900e+09
IC2487,52.5,15.869,0.953,205,79,-0.082,0.19198836,0.660,-0.351,4.7874e+08,2.0586e+09
IC2487,55.5,16.776,1.007,223,67,-0.065,0.15463245,0.665,-0.278,4.7245e+08,2.0315e+09
IC2487,58.5,17.683,1.062,229,47,-0.038,0.10500036,0.704,-0.162,4.6870e+08,2.0154e+09
IC2487,61.5,18.590,1.116,244,34,-0.019,0.08908608,0.710,-0.081,4.6671e+08,2.0068e+09
