# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# delimiter: ','
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7
IC0944,6800.0,-0.41575,0.22452,0.08507,0.02297,0.14279,0.03783,0.13286,0.07521
IC0944,6820.0,-0.19953,0.22452,0.13388,0.02247,0.12111,0.03858,0.08113,0.07521
IC0944,6840.0,-0.19458,0.22453,0.11291,0.02406,0.12708,0.03927,0.10222,0.07521
IC0944,6860.0,0.25727,0.22451,0.13083,0.02652,0.10566,0.03760,0.05506,0.07521
IC0944,6880.0,-0.28385,0.22451,0.12119,0.02579,0.10747,0.04161,-0.00163,0.07521
IC0944,6900.0,0.00496,0.22451,0.10833,0.02848,0.09618,0.04092,0.04912,0.07521
IC0944,6920.0,0.05362,0.22451,0.20259,0.02708,0.15999,0.04050,0.06766,0.07521
IC0944,6940.0,-0.18270,0.22449,0.14840,0.02745,0.14192,0.03953,0.10458,0.07521
IC0944,6960.0,0.03191,0.22449,0.16371,0.02589,0.18118,0.04071,0.11183,0.07520
IC0944,6980.0,0.15077,0.22450,0.15568,0.02313,0.12086,0.04698,0.04642,0.07520
IC0944,7000.0,0.17193,0.22450,0.15367,0.02356,0.17452,0.04760,0.14233,0.07520
IC0944,7020.0,0.03054,0.22448,0.15488,0.02823,0.23939,0.04638,0.18265,0.07520
IC0944,7040.0,-0.28623,0.22446,0.14694,0.02719,0.12846,0.04608,0.11301,0.07520
IC0944,7060.0,0.09493,0.22446,0.12927,0.02691,0.09221,0.04479,0.01965,0.07520
IC0944,7080.0,-0.15944,0.22446,0.13579,0.02598,0.10764,0.04547,0.06307,0.07520
IC0944,7100.0,-0.06938,0.22446,0.08177,0.03000,0.07543,0.05543,0.03654,0.07520
IC0944,7120.0,-0.12265,0.22444,0.21971,0.04030,0.20791,0.05543,0.10613,0.07520
IC0944,7140.0,-0.02839,0.22444,0.20377,0.03817,0.23002,0.05496,0.20566,0.07520
IC0944,7160.0,0.13764,0.22445,0.02679,0.03390,0.00313,0.05233,-0.06248,0.07519
IC0944,7180.0,0.19653,0.22445,-0.00084,0.00767,-0.00520,0.04841,0.04596,0.07519
IC0944,7200.0,0.11019,0.22443,nan,nan,nan,nan,0.07206,0.07519
IC0944,7220.0,-0.24478,0.22441,nan,nan,nan,nan,0.04122,0.07519
IC0944,7240.0,-0.00809,0.22438,nan,nan,nan,nan,-0.04558,0.07519
IC0944,7260.0,0.07774,0.22439,nan,nan,nan,nan,-0.07348,0.07519
IC0944,7280.0,-0.05046,0.22437,nan,nan,nan,nan,-0.00995,0.07519
IC1151,1720.0,-0.12154,0.36391,nan,nan,nan,nan,,
IC1151,1740.0,-0.02476,0.36388,nan,nan,nan,nan,,
IC1151,1760.0,0.10248,0.36388,nan,nan,nan,nan,,
IC1151,1780.0,0.76522,0.36388,nan,nan,nan,nan,,
IC1151,1800.0,0.18335,0.36389,nan,nan,nan,nan,,
IC1151,1820.0,-0.33858,0.36389,nan,nan,nan,nan,,
IC1151,1840.0,-0.36311,0.36390,nan,nan,nan,nan,,
IC1151,1860.0,0.61003,0.36382,nan,nan,nan,nan,,
IC1151,1880.0,-0.00612,0.36382,nan,nan,nan,nan,,
IC1151,1900.0,0.14405,0.36371,nan,nan,nan,nan,,
